model_name,Clean accuracy,attack type,epsilon,adversarial accuracy,relative accuracy,ASR
LogMel CNN,67.38,FGSM,0.005,65.12,96.65,3.35
LogMel CNN,67.38,FGSM,0.01,55.88,82.93,17.07
LogMel CNN,67.38,FGSM,0.02,34.44,51.11,48.89
LogMel CNN,67.38,FGSM,0.05,10.94,16.24,83.76
LogMel CNN,67.38,BIM,0.005,64.94,96.38,3.62
LogMel CNN,67.38,BIM,0.01,54.81,81.34,18.66
LogMel CNN,67.38,BIM,0.02,30.31,44.98,55.02
LogMel CNN,67.38,BIM,0.05,7.69,11.41,88.59
LogMel CNN,67.38,PGD,0.005,66.75,99.07,0.93
LogMel CNN,67.38,PGD,0.01,61.44,91.18,8.82
LogMel CNN,67.38,PGD,0.02,41.25,61.22,38.78
LogMel CNN,67.38,PGD,0.05,10.94,16.24,83.76
LogMel CNN,67.38,DFT-Random,0.005,67.06,99.53,0.47
LogMel CNN,67.38,DFT-Random,0.01,66.81,99.15,0.85
LogMel CNN,67.38,DFT-Random,0.02,66.75,99.07,0.93
LogMel CNN,67.38,DFT-Random,0.05,65.62,97.39,2.61
